Island,Size,NDVI,EVI,Taxonomic,Phylogenetic,Functional,LandSea,Trophic
Aguni,8318375.144,5656.110092,3417.06422,19,130.0936291,0.630539769,Sea,Invert
Aka,5494097.66,2812.228571,1905.714286,12,125.1922932,0.605037299,Sea,Invert
Amami,1262286791,5892.091975,3844.08179,47,124.6476583,0.752916343,Sea,Invert
Arugusuku,1921822.981,8416.4,6321.6,9,128.1368668,0.590935739,Sea,Invert
Daito,45261589.43,6207.899115,4061.580531,37,115.9190419,0.719705377,Sea,Invert
Hateruma,13372996.72,5158.188312,2967.227273,10,130.7323549,0.603231538,Sea,Invert
Hatoma,1121765.894,NA,NA,8,132.6517409,0.581976322,Sea,Invert
Ie,23818325.37,5078.423333,3272.476667,14,129.2601469,0.625529199,Sea,Invert
Iheya,23867235.39,6275.176,3692.589641,22,126.3631141,0.63993085,Sea,Invert
Ikema,3173802.88,6217.909091,3902.727273,11,133.138191,0.602260722,Sea,Invert
Iriomote,297335738.8,6746.057792,4184.942472,42,120.3315098,0.726356383,Sea,Invert
Ishigaki,231070314.6,6778.880454,4385.345148,50,123.1755833,0.743805295,Sea,Invert
Izena,15868967.69,4257.353234,2770.205882,9,130.5205517,0.585752924,Sea,Invert
Kamiyama,459439.2099,NA,NA,1,NA,NA,Sea,Invert
Kohama,8245482.782,4780.534091,3446.272727,18,131.27932,0.628286412,Sea,Invert
Kudaka,1845981.831,5330.8125,3688.375,10,125.3600955,0.593463919,Sea,Invert
Kume,66423868.91,6285.123007,3692.612756,17,129.0508668,0.633481411,Sea,Invert
Kuro,10797573.2,5690.309278,3897.340206,21,124.5977944,0.673182961,Sea,Invert
Miyako,209710481.8,5637.437954,3517.223831,46,123.1995329,0.774264165,Sea,Invert
Nakanougan,352565.8655,NA,NA,2,118.8475137,0.490934857,Sea,Invert
Okinawa,1247503106,6236.13811,3925.832956,58,116.4100499,0.804810734,Sea,Invert
Osumi,1268113888,7647.162218,3866.944513,22,132.8628774,0.640175532,Sea,Invert
Panari,1666884.632,NA,NA,9,128.1368668,0.590935739,Sea,Invert
Senkaku,6454300.156,4200.84,2113.2,10,123.2852225,0.594792576,Sea,Invert
Taketomi,5841791.527,6574.048387,5194.806452,14,128.7977253,0.614788063,Sea,Invert
Tarama,23906925.4,6258.37,3672.112957,8,132.6517409,0.581976322,Sea,Invert
Tokara,17735884.06,5940.177914,3527.374233,12,119.9804446,0.639456638,Sea,Invert
Tokashiki,107989333.2,4550.242836,2874.502262,20,131.9328221,0.602563968,Sea,Invert
Tonaki,4640562.548,2689.222222,2160.888889,9,129.1843382,0.585729955,Sea,Invert
Yagaji,8271285.007,6132.37931,3943.025862,18,133.2113992,0.645256162,Sea,Invert
Yonaguni,30134646.2,5609.4475,3126.6075,46,118.095798,0.741983248,Sea,Invert
Zamami,7462451.553,4431.538462,2902.984615,10,125.3600955,0.593463919,Sea,Invert
Aguni,8318375.144,5656.110092,3417.06422,5,139.8067881,0.089038589,Sea,Omni
Aka,5494097.66,2812.228571,1905.714286,4,136.9396336,0.080884483,Sea,Omni
Amami,1262286791,5892.091975,3844.08179,6,130.8052603,0.089840808,Sea,Omni
Arugusuku,1921822.981,8416.4,6321.6,4,136.9396336,0.080884483,Sea,Omni
Daito,45261589.43,6207.899115,4061.580531,5,123.3692242,0.087612803,Sea,Omni
Hateruma,13372996.72,5158.188312,2967.227273,4,136.9396336,0.080884483,Sea,Omni
Hatoma,1121765.894,NA,NA,4,136.9396336,0.080884483,Sea,Omni
Ie,23818325.37,5078.423333,3272.476667,4,136.9396336,0.080884483,Sea,Omni
